name,lat,long
"Jadavpur Police Station,West Bengal",22.5027682,88.3677291
"Hindustan Health Point Pvt Ltd,West Bengal",22.4580817,88.3836982
"Kanchanpur,Bankura",23.311886,87.0946
Tallital,29.382774,79.464927
Mussorie,30.452602,78.080052
Kovalam,12.789344,80.248236
Kalavakkam,12.741272,80.19622
Puri,19.807911,85.8216
Thane,19.223422,72.983489
Madduru,17.994432,79.10113
Koramangala,12.934145,77.623672
Ludhiana,30.907492,75.664248
Shimla,31.091511,77.176416
Leh,34.221694,77.814741
Jodhpur,26.275161,73.351797
Siliguri,26.723891,88.398692
Indore,22.545502,76.038622
Amravati,21.078059,77.912074
Brahmapur,19.296449,84.820627
